customer_id;date_inscription
CUST-H6KDJF2YI83O;17/7/2022
CUST-21XPJKDCSBFY;31/10/2022
CUST-EVWOPWH7EXET;24/11/2020
CUST-N76H5UXDRO2T;13/11/2021
CUST-0W47P5LOYXTV;15/2/2023
CUST-2PRIVGZAJP44;22/1/2022
CUST-VXIWY26F99V3;19/6/2023
CUST-AV67D95UQCIW;8/5/2024
CUST-2HLFCQHTP2TL;3/5/2023
CUST-NO5YQ0QFBNJJ;9/9/2023
CUST-SZRC4A8PAXOJ;21/11/2023
CUST-HYSE5YE7XVEZ;14/5/2024
CUST-L06SMHG52AZX;14/6/2020
CUST-3YMOYDJ0W9QX;7/10/2023
CUST-HPR0M4J8PC92;23/8/2020
CUST-VCPMTYMM7LSI;16/5/2022
CUST-NUPCP9FNGKED;27/4/2024
CUST-IUZJ38T2IJQ2;12/7/2024
CUST-N43VH2OYWQQ0;16/3/2022
CUST-CDD3DJ0EQN6B;19/1/2021
CUST-WSN2NDX94YOS;19/7/2023
CUST-412GHG0090JH;9/10/2020
CUST-7VRMSSS06SXB;15/3/2023
CUST-3GFRN7TVBSAZ;15/3/2022
CUST-13PFK9XGDKIG;24/9/2020
CUST-C7CCSQURVF6D;26/4/2022
CUST-NNIFGAW3C6MC;3/4/2020
CUST-Z8BI7D451ROW;7/3/2023
CUST-45O42TT3DR3Y;28/1/2023
CUST-FAMIJC0JYJQ5;6/1/2023
CUST-IHN1HQRI7PYJ;1/10/2021
CUST-EQ27DAF3EU53;13/8/2021
CUST-M1FY5D1PRUJ8;1/8/2020
CUST-VBW8ULOYCXCM;28/1/2021
CUST-A4ACGVNI5EPV;10/7/2024
CUST-NKULSZHSXDYX;30/5/2024
CUST-UEF3VD2KB18E;20/10/2021
CUST-01LJRKZ8WOCL;21/8/2023
CUST-3F47X2KHYXQM;14/8/2024
CUST-Z3RZ327DSIF6;18/9/2022
CUST-9F4LHHFEUC43;18/1/2020
CUST-YC8CSXX5GAG2;5/9/2021
CUST-0UESFOHYJKXE;30/8/2020
CUST-U70VCMHWASJE;14/12/2020
CUST-GBX04JE9JLH3;23/6/2024
CUST-HSPAJL24UWMP;3/7/2021
CUST-XGOXJLIO8DZD;10/11/2022
CUST-JQ3EKJNFSSQ4;19/7/2022
CUST-QL4AAC0U06FX;2/3/2020
CUST-DW0KBRCTB8XN;14/11/2020
CUST-ZDVAUKT7DIPQ;7/9/2023
CUST-NA417AIRZEV3;6/6/2023
CUST-C0JP2N08B7WJ;15/1/2021
CUST-NQZE75HZFMUW;26/11/2023
CUST-RZBMZ6B1B5G3;30/4/2020
CUST-NL1PCY4GORUD;8/6/2024
CUST-EQNMEA6Y34V9;27/11/2022
CUST-YFTWVYAEH5IE;17/12/2020
CUST-JGF6N3NDXVIN;24/7/2024
CUST-VHYUIGMTGSPC;15/4/2023
CUST-H98UW8JDRAEP;8/6/2023
CUST-8LZCONDEGQ2Y;27/8/2020
CUST-FWLDHTAOM7RQ;22/4/2023
CUST-8W7RSD6EZHXZ;18/11/2020
CUST-WSHBC1QYS5AC;27/4/2024
CUST-LRRYR3J5JBUU;11/11/2020
CUST-XEAMJFIA09S1;12/10/2023
CUST-OUDEGNHDDUHS;22/10/2021
CUST-1PPQOJRGPBW0;24/6/2021
CUST-VHH75CFF9E31;12/4/2024
CUST-XMFWU3J0JYLH;17/1/2024
CUST-USY71ST037WO;14/12/2021
CUST-NKUFXGTOU2S3;2/6/2020
CUST-V3331OM24C8S;9/1/2021
CUST-IA7OLTJV1ZNU;29/11/2020
CUST-X9SXS837DKWB;19/8/2023
CUST-TWQUHP20P72F;22/12/2022
CUST-8P9LKZFAAMCE;25/11/2023
CUST-S800E5GE73LP;4/5/2022
CUST-UOOWGLWG215X;20/2/2023
CUST-6KZHTDKLMH3I;26/10/2022
CUST-6Q4ZJ1A0IJQT;13/4/2021
CUST-791JAJIFNP8Q;9/3/2023
CUST-XQHQG7URLS4H;6/8/2022
CUST-7OR41YLDARMF;29/9/2023
CUST-4IEEBNR2V25U;3/10/2021
CUST-D2OPTF7E73RA;15/12/2022
CUST-MTHKBGZIZXOV;21/4/2023
CUST-MP67A03BJL6D;4/12/2021
CUST-XZU20IHWME3B;3/4/2022
CUST-RVRTM9VWEUOC;11/4/2021
CUST-19IJ4IJ1TPX7;10/12/2022
CUST-BTILIB2I6LP6;31/1/2020
CUST-3B6QYXU4RF71;26/2/2024
CUST-8P4YOUY27OFV;8/2/2024
CUST-DNIO2MRJHQEJ;14/8/2024
CUST-I7SEFU1HY1DN;8/8/2022
CUST-YIQ75RD4GT9K;14/7/2022
CUST-QD5ZYN6M0R3V;27/11/2021
CUST-TOOYKOIXYABY;25/11/2022
CUST-WLCVVU9JAR6Z;14/5/2023
CUST-CEKUELJIF6X2;11/8/2022
CUST-KZYA7LB4ITVI;26/2/2020
CUST-59AD6KEFR7M4;7/3/2022
CUST-DQD98PY76Q0T;15/7/2022
CUST-SCHPFOCM3VD0;8/3/2023
CUST-O26G5KZ8054M;2/2/2023
CUST-CDKB612854AE;22/7/2022
CUST-MULNX6Z9314V;16/1/2024
CUST-QQORG65WLB2G;10/8/2021
CUST-3N2GY50BSCOF;17/3/2024
CUST-LAY4IGUPZHVJ;19/7/2020
CUST-5IFCVAEURGKS;10/4/2024
CUST-LJUSB06MJC1A;13/6/2023
CUST-SR4600EC2QHI;15/9/2022
CUST-LBWLO5B3IRBT;20/2/2022
CUST-Z3DWY95XHKEF;29/3/2022
CUST-JT0QRQ16CXMI;8/3/2024
CUST-X3688I3J8DNC;26/9/2022
CUST-PJH53RXIEWBF;21/7/2022
CUST-BVYIANR1ECI0;18/12/2020
CUST-5AMB55U3GHBJ;31/10/2022
CUST-2EYZVNKWGV4W;3/9/2020
CUST-R0CPZ865CU3R;16/5/2020
CUST-IELMY9YTAQEU;17/8/2021
CUST-QM3XQWWGMCYT;15/1/2022
CUST-UEKPM18JSSZ7;27/1/2023
CUST-Z482RA27GGHR;6/6/2022
CUST-5GYTN0PJTB7X;12/4/2024
CUST-55Z0INRKQVJ0;16/10/2020
CUST-UUE6CA1055D0;22/3/2022
CUST-54B31OA6XSHC;31/1/2021
CUST-KE87XQX0S64O;20/3/2023
CUST-CA82ELYP41NL;18/7/2024
CUST-571F0XDIFCZD;10/10/2020
CUST-U3VW237SI223;22/5/2020
CUST-WKR5QTWF96OT;1/2/2022
CUST-XTI5CYMZILEB;8/3/2021
CUST-ICC5C6MNWFRE;26/7/2020
CUST-5PFT71YJP9RC;16/6/2024
CUST-X26QG6JQAGGN;22/2/2021
CUST-UJLT9BM0A9RY;31/1/2024
CUST-KIVJSO4NDEYP;2/1/2020
CUST-ZS4R5Q33M2IM;27/10/2022
CUST-20KVHBNQCQDR;26/5/2023
CUST-2S0TW972XMDX;1/6/2023
CUST-TY0XEDPL06ZZ;9/2/2021
CUST-SHHZDP7TBTHI;14/10/2021
CUST-GD5A2IB5ROFS;21/7/2022
CUST-1NA9C273B31I;22/5/2021
CUST-RJAFVN77FZDR;13/4/2022
CUST-O4A2ZBPHM0DI;5/4/2022
CUST-XOG109TDC4BT;14/8/2024
CUST-YRY4CZLZJF4Z;11/11/2022
CUST-20X81S5U92Y9;1/2/2022
CUST-UKT542YSQHE9;21/9/2021
CUST-GHV48D87QM79;13/10/2020
CUST-7212VL6W1MOG;6/6/2022
CUST-9XT8ODBQKUI9;24/11/2023
CUST-D2MPY3F6OOXT;18/2/2022
CUST-DPHU7NVYGTIG;30/5/2021
CUST-ONQ0J93YM4WQ;27/9/2022
CUST-A66HAV79SA18;13/1/2022
CUST-6RW8AWH3M13X;19/7/2023
CUST-YBFQ9PSVIAZD;14/5/2022
CUST-GAZO9Y1TLB7R;7/4/2020
CUST-RHSGKHADAJ91;1/1/2020
CUST-SRO19AIKN9FV;18/4/2022
CUST-8KBKK4HC1BEI;1/7/2023
CUST-FS1SM9VFKF93;3/6/2024
CUST-RO3ZCYHAKF53;28/1/2022
CUST-A5ED6XLF1OFT;26/9/2023
CUST-4SWHGR2H3GK0;11/4/2021
CUST-JEULO8FHQSCF;4/3/2023
CUST-LZ9AAILNGL9M;19/2/2020
CUST-G1MX76T7707P;14/7/2024
CUST-ON6RHQV2JXW1;2/4/2024
CUST-5JPS4CSXFB1O;16/7/2022
CUST-509KRGJNX1BB;12/6/2023
CUST-VBNVXS3XX1JK;5/6/2023
CUST-J3GODQEJ3K81;4/6/2024
CUST-XA74A2UN27PV;18/6/2023
CUST-KC7PJIH8HSEI;21/3/2022
CUST-A5IQJYPHJGL4;20/8/2022
CUST-D9KS454ILGD2;24/11/2021
CUST-DBMSW21V2UAQ;26/3/2021
CUST-XRX9LL68SMWH;4/9/2022
CUST-7R9TA0KWG51Q;8/9/2020
CUST-43271JY7Y2KG;20/8/2022
CUST-SOHIHHD05M22;26/1/2020
CUST-U5UBJO2YUWDE;3/7/2023
CUST-XIXVNDKTAMSI;1/7/2022
CUST-ZE19RHY7HJ0W;10/10/2023
CUST-D3PLLO2F345D;18/12/2021
CUST-9AJ3JE6BI9LO;10/1/2020
CUST-EFD24N3ON53F;25/12/2021
CUST-DO4J3Y13YN2V;25/9/2020
CUST-LXX4YIWAP006;17/7/2023
CUST-L1LT225V4RUM;25/9/2021
CUST-PZGMOJTCS76B;2/6/2020
CUST-CR2QQBBTI5K6;8/9/2020
CUST-LIQWE9V1LXNU;5/2/2023
CUST-TOAAL0GO1PCL;12/5/2021
CUST-3WMLI1LSMVOX;25/2/2021
CUST-P4QSP5SFP9FP;22/12/2023
CUST-76XUI4DAXIT0;11/8/2024
CUST-3UHMVB2NNPUA;27/1/2022
CUST-RUTW9N6O6VVX;6/4/2023
CUST-6CSV93DB9HK3;22/12/2021
CUST-ZZ6ASS2HRJ5B;14/8/2024
CUST-FT3JHBCVO416;26/8/2022
CUST-36YNTZKYKFBT;15/5/2023
CUST-GA8IYF0SBU67;19/6/2022
CUST-2APVU230POLR;1/3/2021
CUST-XOHJG5K7BUCL;29/8/2021
CUST-SKADY3ZYVWY5;9/4/2020
CUST-PK7CVZOQZ85O;22/2/2023
CUST-J0OBG0771WI9;18/12/2022
CUST-ODMV1677IKTE;11/9/2023
CUST-QHM5B0NDVIW3;22/4/2021
CUST-50IJ2NWJ923B;8/8/2023
CUST-1GRGIRCXFF7G;5/1/2023
CUST-BWUBX776N57M;14/10/2021
CUST-A6P86L3GDOYQ;7/4/2023
CUST-29NWFGNAJLF5;22/10/2021
CUST-1KZMSJWJKO3C;21/6/2021
CUST-A706UMY402NP;10/12/2020
CUST-3ODAK5AUTW9U;7/1/2020
CUST-4R0SPKP67YAV;7/3/2024
CUST-DJYZOTX42PII;12/5/2021
CUST-WJZE9XAAW3AG;2/4/2023
CUST-QIAUZMPCU6L7;5/1/2022
CUST-UT0HOM7ZOMSW;6/10/2021
CUST-C79WZES7TBHQ;27/11/2021
CUST-F81F7EGCME7S;20/10/2021
CUST-EAHRYDNQBX21;5/5/2023
CUST-FZQI0YJQWAYU;18/6/2020
CUST-CATZGCKUIUZT;22/10/2021
CUST-24KSAQV5SS4S;10/9/2021
CUST-7MI9WGWEX8BH;17/2/2020
CUST-TQFAO0E0IDY4;19/6/2021
CUST-FLSRR0J8X43C;11/10/2022
CUST-9DWY03UPA2W0;27/12/2021
CUST-XKVEO4TD6DAA;25/3/2022
CUST-GO9KI3X957TO;23/6/2022
CUST-L50OS1CD5R3N;22/2/2021
CUST-2BN9N6K7M6PJ;16/10/2023
CUST-LMKI85DCTYSN;27/6/2020
CUST-DTYEW8WU8NHQ;15/2/2024
CUST-IJJCZAKLJXXT;12/2/2022
CUST-SCBB5LC59BZ9;28/12/2023
CUST-PG66AFLUQUT7;5/7/2023
CUST-J2L068OADU9H;14/1/2021
CUST-PJ3K9DHK64X9;8/8/2022
CUST-IVN9ZP43WYKM;13/6/2022
CUST-8AIA0ZRBE1JY;11/3/2021
CUST-PUZXZIHAYDP7;24/12/2021
CUST-2SU9MJAWWZQ6;11/12/2020
CUST-XQGK8ENU8AHZ;2/1/2022
CUST-YBSVUU443B43;19/3/2022
CUST-BP3IV7PFJLRK;5/7/2020
CUST-25SRNIXUPHO5;27/8/2022
CUST-IOWVKGIQGTU1;16/11/2023
CUST-NEQ631FFVOSW;18/7/2023
CUST-NMABOLCQP65B;14/11/2021
CUST-GERXE8AQILA6;20/9/2022
CUST-KDD4WJOHVDKV;27/11/2020
CUST-JGQAC17LJPTW;7/9/2021
CUST-V39GS74BBIMC;13/4/2020
CUST-PECAACC5F3JR;20/11/2021
CUST-6GCPL56GYVRN;27/5/2022
CUST-Q6HI0RBRVNYX;25/5/2024
CUST-HIIEQH0W1AN3;3/2/2022
CUST-UTA50LOIYTBV;18/5/2024
CUST-7EAGSHLKZRU7;4/5/2020
CUST-AEMORE7ACFWR;16/6/2022
CUST-5FYYHTJ9SSFP;2/8/2020
CUST-T83YXA68BFVY;7/1/2020
CUST-2OC8A27BI22I;17/10/2022
CUST-DN2BF0SSUBRG;12/4/2022
CUST-5N4GVWEZZ0EO;9/11/2023
CUST-HBSH74X453C2;3/2/2021
CUST-4DR3H44UQQ9Y;6/10/2023
CUST-7JE03VIP1GBD;6/5/2024
CUST-9W2RA6DMD9W8;20/1/2023
CUST-I31EWOHLULM5;19/1/2023
CUST-LJMGKVQ62JH2;7/3/2020
CUST-FL2SH6ASDQMQ;13/4/2023
CUST-S4S92IISEFQT;12/9/2022
CUST-24EGU4JSNV5M;23/7/2020
CUST-EYYPLC8PDAXB;30/1/2023
CUST-U3W1JZEE8SRO;25/9/2022
CUST-R07LIX7KAGZ4;26/1/2023
CUST-YZ8UF20OI3IR;3/5/2020
CUST-ZGJ1G4X5ISIK;13/9/2023
CUST-VMXYDCREZL8Z;11/2/2020
CUST-2L6SAPPZ6MLO;25/5/2021
CUST-JATXOQL0B9J3;27/12/2021
CUST-Q0QA367F7328;26/12/2020
CUST-Q8PD5ZABCJEZ;9/6/2020
CUST-7T9UCCDTYMFX;13/12/2022
CUST-GF7GOG4160YA;20/10/2020
CUST-ID795Z03FMGS;26/5/2024
CUST-T0HEK5JWA5KQ;29/9/2020
CUST-IR46S67ZFZPC;20/3/2021
CUST-WTNZFK9HS3N4;23/6/2021
CUST-X20YY9SWHUH2;16/3/2023
CUST-DTXECXQPKN3Y;16/7/2024
CUST-2GBDC303DEBV;19/8/2021
CUST-KG89W9I1ZEV4;9/1/2021
CUST-BHKRDBXMPH18;27/2/2023
CUST-FHQISTXKNRHL;4/8/2022
CUST-88UIQKMW68U8;28/10/2023
CUST-KB37L0HM87PZ;18/12/2022
CUST-EBVASYGHHIXJ;14/10/2021
CUST-X424M6KYDWD9;15/7/2020
CUST-QE2V857S0D84;29/8/2022
CUST-I61WWPOA5H34;17/7/2024
CUST-W7F6KAQ61S8M;29/4/2022
CUST-RMFSSYN10H50;29/8/2022
CUST-1NWC0C5Z59X1;25/5/2021
CUST-YU54MXUHK65Y;23/3/2023
CUST-34NUAEVKS3J4;5/6/2021
CUST-EXZZR3IHR279;14/8/2024
CUST-F3LG9PEVO0E9;14/4/2021
CUST-0E2YANKIH6IA;22/2/2023
CUST-KVXJWZMI1OLW;26/8/2023
CUST-R96I2AJLYQVO;12/12/2020
CUST-X4H17N8N620T;31/5/2021
CUST-NQ7BMFW3EVQ5;27/1/2024
CUST-QB1F3LKFVNQ9;8/6/2022
CUST-8VIGQ44GE62I;26/3/2022
CUST-AMOX42ZD0Q3U;10/2/2022
CUST-3VYO16MB0Q4N;11/2/2024
CUST-RLRFWB1766EM;21/10/2020
CUST-IX7VPNE744G8;29/8/2022
CUST-0DM0M6580EWW;19/2/2021
CUST-UUFOM903QXDZ;19/3/2021
CUST-IASP4NZT0530;3/11/2021
CUST-94WHND2L5USP;5/5/2020
CUST-NUTBTFJN3820;2/9/2020
CUST-WRMBAIHDO4OL;3/8/2024
CUST-R1BWQT7PW7MI;17/6/2023
CUST-TCMPFBCRM6E0;6/7/2022
CUST-0HLP1605ZDVJ;13/7/2023
CUST-YFHO3R4XPYQR;19/1/2024
CUST-VBPU0B0J7UFQ;14/6/2021
CUST-LRO22SZ70VXO;21/12/2022
CUST-QCXU1WU3CFSA;18/3/2022
CUST-VBOHADERCNQW;23/11/2021
CUST-DI22VSY2JNGZ;16/1/2022
CUST-XFMDXDOGHBTF;8/8/2020
CUST-CSU904HLW3Y0;8/3/2020
CUST-LOFIWS08F2EF;2/10/2023
CUST-HB91ODN934QI;4/4/2021
CUST-WSBGFB8R1REM;1/8/2024
CUST-2Y1OLX5OFFS3;16/9/2023
CUST-UNF75IVYPTGR;29/12/2023
CUST-KJBRIQ2BLOAQ;3/12/2021
CUST-JNSOZSFORR88;19/6/2022
CUST-D4GXK7V7M7OV;24/4/2020
CUST-5RUNT1CQTZI1;24/8/2021
CUST-MQNY7QQG0362;11/3/2024
CUST-81QFQS8YLX8H;7/4/2021
CUST-759L3U74BYGL;15/8/2020
CUST-D4CH3HIWDQD5;6/10/2020
CUST-C0FGGAW7CQ7H;29/2/2020
CUST-3LG889X8V0C6;6/5/2020
CUST-S7ZDYXCQXSBI;14/7/2023
CUST-RQDY2LH32P7T;28/12/2022
CUST-WJEFF9YPI9H9;28/7/2024
CUST-N8RX6MCYZ4PH;4/9/2023
CUST-19KJJR60F0NW;7/3/2024
CUST-5LQ6LPL9J7M0;22/9/2022
CUST-JQ2WFUCMMS5G;1/3/2023
CUST-K3514QDJDB8D;20/7/2020
CUST-U5CXAMRNZCQG;29/1/2023
CUST-7ICS470H6ZNW;24/9/2022
CUST-G0Z32C260ENX;21/4/2020
CUST-U1L3XK7NXMHF;18/12/2023
CUST-RJPR677ZWUQP;10/5/2024
CUST-2KZMLUHJIJZP;9/5/2020
CUST-WRBIND7QK36I;29/2/2024
CUST-HILBLBH0QVHF;20/12/2021
CUST-3CLNPIQO4PJ9;1/2/2023
CUST-F3G3I1IY1H17;23/1/2024
CUST-3QYMP8WZA866;26/12/2022
CUST-AF9HYIVP2UT7;2/9/2023
CUST-WK4PAX73KS7D;2/6/2021
CUST-VCB4G7EEZ04Z;19/1/2020
CUST-MNQ9AUFID9F5;5/3/2024
CUST-JKPMPNJFUL41;31/3/2024
